PotID,Pot.ID.QR.Code,stripNo,BinNo,plotType,divLevel,trt,lines1,lines2,lines3,lines4,lines5,lines6,lines7,lines8,lines9,lines10,lines11,lines12,lines13,lines14,lines15,lines16,lines17,lines18,lines19,lines20,PlantNum_Initial,CanopyArea,SLA_Area,SLA_Wt,SLA,FH_Wt,FT.5.29.30.18,FT.6.4.18,FT.6.8.18,FT.6.12.18,FT.6.15.18,FT.6.19.18,FT.6.21.18,FT.6.26.18,FT.6.29.18,FT.7.6.18,FT.7.10.18,Damaged_pot,FT1001_mean,FT1001_q90,FT1001_q10,PC5dist_mean,Ngenotypes,meanKin,meanGenD,treeDiv,ecotypeid,potF2,MaxPlantNum,typePlot
1,1-A-mono-1-C,A,1,mono,1,C,CS77287,,,,,,,,,,,,,,,,,,,,1,0.1,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,,42.125,42.125,42.125,8.792225748,1,7.322603124,0,0,9585,NA,2,NA
2,2-A-mono-1-C,A,1,mono,1,C,CS76836,,,,,,,,,,,,,,,,,,,,11,3.44,0.28,0.973,0.288,NA,0,0,0,0,0,0,0,0,0,0,0,damaged,72.875,72.875,72.875,4.274002269,1,7.322603124,0,0,9841,NA,11,NA
3,3-A-mono-1-C,A,1,mono,1,C,CS76360,,,,,,,,,,,,,,,,,,,,18,7.01,0.19,0.749,0.254,0.2331,0,0,0,0,0,0,0,0,0,0,0,,60.875,60.875,60.875,6.67124573,1,7.322603124,0,0,9984,NA,18,NA
4,4-A-mono-1-C,A,1,mono,1,C,CS76999,,,,,,,,,,,,,,,,,,,,19,2.85,0.14,0.438,0.32,0.2389,0,0,0,0,0,0,0,0,0,0,0,,82.25,82.25,82.25,6.971810948,1,7.322603124,0,0,9102,NA,19,NA
5,5-A-mono-1-S,A,1,mono,1,S,CS76692,,,,,,,,,,,,,,,,,,,,19,1.79,0.09,0.227,0.396,0.1565,0,0,0,0,0,0,0,0,0,0,0,,82.04166667,82.04166667,82.04166667,10.87719806,1,7.322603124,0,0,9620,NA,19,NA
6,6-A-mono-1-C,A,1,mono,1,C,CS76689,,,,,,,,,,,,,,,,,,,,19,15.81,0.11,0.64,0.172,0.4311,0,0,0,0,0,0,0,0,0,0,0,,68.875,68.875,68.875,7.883719125,1,7.322603124,0,0,9521,NA,19,NA
7,7-A-mono-1-C,A,1,mono,1,C,CS76836,,,,,,,,,,,,,,,,,,,,10,2.42,0.19,0.347,0.548,0.0931,0,0,0,0,0,0,0,0,0,0,0,,72.875,72.875,72.875,4.274002269,1,7.322603124,0,0,9841,NA,10,NA
8,8-A-pred-2-S,A,1,pred,2,S,CS76999,CS77196,,,,,,,,,,,,,,,,,,,17,0.48,NA,NA,NA,0.0301,0,0,0,0,0,0,0,0,0,0,0,,86.14583333,89.2625,83.02916667,6.232350178,2,6.642825516,0.757856848,9.014418195,NA,NA,17,Gdiv
9,9-A-mono-1-C,A,1,mono,1,C,CS77028,,,,,,,,,,,,,,,,,,,,20,10.48,0.14,0.639,0.219,0.0449,0,0,0,0,0,0,0,0,0,0,0,damaged,109,109,109,7.096443569,1,7.322603124,0,0,9084,NA,23,NA
10,10-A-mono-1-S,A,1,mono,1,S,CS77002,,,,,,,,,,,,,,,,,,,,19,1.6,0.04,0.203,0.197,0.133,0,0,0,0,0,0,0,0,0,0,0,,78,78,78,6.971810948,1,7.322603124,0,0,9105,NA,19,NA
