"locus","chr","start","stop"
"AT1G50920","1",18870555,18872570
"AT1G36960","1",14014796,14015508
"AT1G44020","1",16716692,16718656
"AT1G15970","1",5486544,5488494
"AT1G73440","1",27611418,27612182
"AT1G75120","1",28197022,28198656
"AT1G17600","1",6053026,6056572
"AT1G51380","1",19047960,19049967
"AT1G77370","1",29073916,29074642
"AT1G44090","1",16760677,16762486
"AT1G10950","1",3659322,3663622
"AT1G31870","1",11437269,11439821
"AT1G51360","1",19044208,19044840
"AT1G14940","1",5154775,5155512
"AT1G50950","1",18880465,18884043
"AT1G75110","1",28194348,28195885
"AT1G17400","1",5960920,5962245
"AT1G50930","1",18876898,18877706
"AT1G09400","1",3033676,3034993
"AT1G09415","1",3037910,3038248
"AT1G74730","1",28078995,28079831
"AT1G75100","1",28191108,28193769
"AT1G75240","1",28241576,28242505
"AT1G14920","1",5149414,5151015
"AT1G65510","1",24359456,24359847
"AT1G75250","1",28245073,28245453
"AT1G54410","1",20310305,20310601
"AT1G09410","1",3035443,3037560
"AT1G54420","1",20311619,20312418
"AT1G75090","1",28187647,28189612
"AT1G36950","1",14009673,14010822
"AT1G50940","1",18878038,18879939
"AT1G14930","1",5152465,5153035
"AT1G65970","1",24557527,24558229
"AT1G17410","1",5968627,5969780
"AT1G31880","1",11447804,11450053
"AT1G77320","1",29056740,29062710
"AT1G77500","1",29121753,29124937
"AT1G51320","1",19025642,19026769
"AT1G74770","1",28089695,28094834
"AT1G75080","1",28185709,28187063
"AT1G14890","1",5137045,5137704
"AT1G51330","1",19028841,19029844
"AT1G80350","1",30205499,30208050
"AT1G14900","1",5138665,5139353
"AT1G15960","1",5482202,5485066
"AT1G14980","1",5165930,5166654
"AT1G14910","1",5139928,5143571
"AT1G44100","1",16764651,16767223
"AT1G15000","1",5168613,5169947
"AT1G31850","1",11431165,11433443
"AT1G79210","1",29796286,29798240
"AT1G67160","1",25124819,25127098
"AT1G20960","1",7302591,7309914
"AT1G74780","1",28095916,28097912
"AT1G65620","1",24400146,24400745
"AT1G12680","1",4320123,4322269
"AT1G74790","1",28098912,28101673
"AT1G77510","1",29126742,29129433
"AT1G43980","1",16687637,16689502
"AT1G77300","1",29040160,29048810
"AT1G80340","1",30200695,30202163
"AT1G65985","1",24562578,24568470
"AT1G51340","1",19032021,19034681
"AT1G31860","1",11434250,11436530
"AT1G73450","1",27613856,27618635
"AT1G21070","1",7376148,7377810
"AT1G51350","1",19035851,19038738
"AT1G14950","1",5157588,5158144
"AT1G09440","1",3045513,3047393
"AT1G09390","1",3031264,3033415
"AT1G22840","1",8079384,8080286
"AT1G09430","1",3042135,3044978
"AT1G44010","1",16714656,16715504
"AT1G80360","1",30208736,30210643
"AT1G74720","1",28075173,28078418
"AT1G65980","1",24559524,24560753
"AT1G44000","1",16708201,16709521
"AT1G75260","1",28247854,28249395
"AT1G14970","1",5162085,5164917
"AT1G14960","1",5159334,5159992
"AT1G73460","1",27620122,27624899
"AT1G09450","1",3049066,3052858
"AT1G51355","1",19041475,19041825
"AT1G12660","1",4308943,4309583
"AT1G75130","1",28200073,28201911
"AT1G21120","1",7395331,7396640
"AT1G09740","1",3154603,3155834
"AT1G21110","1",7390110,7391419
"AT1G50900","1",18866272,18867014
"AT1G37000","1",14036038,14037145
"AT1G77330","1",29063215,29064447
"AT1G80400","1",30225864,30227360
"AT1G74740","1",28080199,28082476
"AT1G17370","1",5951842,5954825
"AT1G09750","1",3157541,3158960
"AT1G75220","1",28229412,28232606
"AT1G65560","1",24371608,24373673
"AT1G65570","1",24374098,24375846
"AT1G49660","1",18378777,18379736
"AT1G21100","1",7386991,7388318
"AT1G29020","1",10120497,10122902
"AT1G77310","1",29051671,29056179
"AT1G12610","1",4290205,4290834
"AT1G70820","1",26705594,26708034
"AT1G70790","1",26700724,26702127
"AT1G12640","1",4303586,4305666
"AT1G12620","1",4294883,4296748
"AT1G12630","1",4298897,4299475
"AT1G65610","1",24391823,24395261
"AT1G75170","1",28214405,28215686
"AT1G49680","1",18386867,18387166
"AT1G50880","1",18860837,18861982
"AT1G36675","1",13867568,13869490
"AT1G23180","1",8216125,8219515
"AT1G09770","1",3162002,3165122
"AT1G75200","1",28220849,28223597
"AT1G80390","1",30221780,30222702
"AT1G74750","1",28086800,28089367
"AT1G75210","1",28223990,28228751
"AT1G44080","1",16753944,16755670
"AT1G21140","1",7404464,7405066
"AT1G09780","1",3165550,3167812
"AT1G09790","1",3168568,3170819
"AT1G09760","1",3159476,3161603
"AT1G75190","1",28219598,28219993
"AT1G49730","1",18402618,18405638
"AT1G79220","1",29799227,29800426
"AT1G50870","1",18855147,18856337
"AT1G65590","1",24385996,24390989
"AT1G75180","1",28216150,28217911
"AT1G09800","1",3177121,3180336
"AT1G50890","1",18862295,18865752
"AT1G70810","1",26704207,26705091
"AT1G21130","1",7399170,7400470
"AT1G65580","1",24377598,24383940
"AT1G70800","1",26702757,26703650
"AT1G09795","1",3173588,3176690
"AT1G80380","1",30217332,30219784
"AT1G55890","1",20901364,20902560
"AT1G65520","1",24361171,24361893
"AT1G49650","1",18377363,18378487
"AT1G75230","1",28234444,28235628
